"motor:","AeroTech L1520T"
"contributor:","Christopher Kobel"
"details:","https://www.thrustcurve.org/simfiles/5f4294d20002e9000000076a/"
"propellant mass:",1854
"Time (s)","Thrust (N)"
0.011,1484.553
0.055,1506.304
0.089,1468.239
0.155,1560.684
0.2,1571.559
0.3,1582.435
0.4,1598.749
0.5,1620.501
0.6,1642.252
0.7,1653.128
0.8,1674.88
0.9,1691.194
1,1685.756
1.1,1696.632
1.2,1691.194
1.3,1691.194
1.4,1680.318
1.5,1664.004
1.6,1636.814
1.7,1620.501
1.8,1604.187
1.9,1576.997
2,1560.684
2.1,1538.932
2.2,1500.866
2.227,1435.611
2.25,1125.65
2.29,832.002
2.366,647.113
2.4,456.785
2.44,244.706
2.5,59.817
2.6,0
