state_letter,set_extension,encoder_position,timestamp_seconds,temperature_celsius,pressure_pascals,raw_acceleration_x_gs,raw_acceleration_y_gs,raw_acceleration_z_gs,raw_angular_rate_x_deg_per_s,raw_angular_rate_y_deg_per_s,raw_angular_rate_z_deg_per_s,magnetic_field_x_microteslas,magnetic_field_y_microteslas,magnetic_field_z_microteslas,est_position_x_meters,est_position_y_meters,est_position_z_meters,est_velocity_x_meters_per_s,est_velocity_y_meters_per_s,est_velocity_z_meters_per_s,est_acceleration_x_gs,est_acceleration_y_gs,est_acceleration_z_gs,est_angular_rate_x_rad_per_s,est_angular_rate_y_rad_per_s,est_angular_rate_z_rad_per_s,est_quaternion_w,est_quaternion_x,est_quaternion_y,est_quaternion_z,predicted_apogee,height_used_for_prediction,velocity_used_for_prediction,retrieved_firm_packets,apogee_predictor_queue_size,update_timestamp_ns
S,30,0,129.01213194,26.33253479,101616.53125000,-0.66646940,-0.66328019,0.32960817,-0.07043618,-0.22465262,0.01965458,-23.83010483,-42.15967560,-16.45619392,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.02339666,-0.01943870,0.99910665,-0.00110960,-0.00495911,0.00300566,0.04783191,-0.02057306,0.58489442,-0.80943644,,,,1,0,1771692777698352608
S,30,0,129.02354006,26.32301331,101615.43750000,-0.66365069,-0.66743284,0.32899997,0.06689291,-0.27042899,0.35534790,-23.79325867,-42.11131287,-16.46818733,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.02327568,-0.01936927,0.99907625,0.00331441,-0.00053498,0.00300556,0.04797506,-0.02041093,0.58506578,-0.80930823,,,,1,0,1771692777709337046
S,30,0,129.03462887,26.32513428,101616.14062500,-0.66217953,-0.66902095,0.33046395,0.19659261,-0.01865897,0.30194217,-23.79912949,-42.25040054,-16.40155983,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.02330112,-0.01933626,0.99902380,-0.00054362,-0.00006389,0.00327269,0.04795086,-0.02057587,0.58508766,-0.80928963,,,,1,0,1771692777720321392
S,30,0,129.04588133,26.32965088,101616.28125000,-0.66401690,-0.66682220,0.33192623,0.05163412,-0.07969412,0.24090700,-23.86692238,-42.19581223,-16.40756989,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.02337233,-0.01946687,0.99909830,0.00387859,0.00078288,0.00526828,0.04753168,-0.02100906,0.58475882,-0.80954105,,,,1,0,1771692777731341782
S,30,0,129.05588131,26.34292603,101616.40625000,-0.66634429,-0.66389066,0.33387598,0.17370443,0.14155830,0.31720096,-23.84848976,-42.17768478,-16.41358566,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.02323243,-0.01954318,0.99911487,0.00209093,0.00031266,0.00433632,0.04788287,-0.02037750,0.58461863,-0.80963773,,,,1,0,1771692777742309576
S,30,0,129.06784080,26.32945251,101617.37500000,-0.66658789,-0.66511118,0.33436361,0.01348715,-0.17887625,0.34008914,-23.89171600,-42.15365219,-16.49284554,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.02299344,-0.01960670,0.99920392,0.00190261,0.00012461,0.00420393,0.04798923,-0.01990858,0.58458418,-0.80966789,,,,1,0,1771692777753321515
S,30,0,129.07838027,26.33128357,101617.51562500,-0.66499853,-0.66621107,0.32863346,-0.22302407,-0.31620535,0.15698367,-23.81154633,-42.22025299,-16.45026588,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.02291155,-0.01950024,0.99920702,-0.00101550,-0.00335834,0.00526721,0.04792452,-0.02009321,0.58479792,-0.80951279,,,,1,0,1771692777764269094
S,30,0,129.08963061,26.33013916,101615.42187500,-0.66389507,-0.66694438,0.33058500,-0.45190588,-0.51456958,0.14172488,-23.79304695,-42.15941620,-16.35856819,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.02294012,-0.01942769,0.99916321,0.00237327,-0.00486469,0.00473606,0.04754771,-0.02059092,0.58500606,-0.80937207,,,,1,0,1771692777775250259
S,30,0,129.10088253,26.32763672,101616.00000000,-0.66229862,-0.67024153,0.33497551,-0.27642983,-0.48405200,0.70630002,-23.86699677,-42.17168045,-16.43798447,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.02299816,-0.01946333,0.99920964,0.00190299,-0.00759454,0.00473659,0.04742593,-0.02080069,0.58486694,-0.80947441,,,,1,0,1771692777786237915
S,30,0,129.11088345,26.33879089,101616.53125000,-0.66536218,-0.66572249,0.33619329,-0.41375890,-0.49931079,0.13409549,-23.84855461,-42.17176437,-16.45625687,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.02299021,-0.01963247,0.99930805,0.00011486,-0.01070070,0.00460295,0.04758623,-0.02055665,0.58437222,-0.80982858,,,,1,0,1771692777797254145
