state_letter,set_extension,encoder_position,timestamp,invalid_fields,scaledAccelX,scaledAccelY,scaledAccelZ,scaledGyroX,scaledGyroY,scaledGyroZ,deltaVelX,deltaVelY,deltaVelZ,deltaThetaX,deltaThetaY,deltaThetaZ,scaledAmbientPressure,estOrientQuaternionW,estOrientQuaternionX,estOrientQuaternionY,estOrientQuaternionZ,estPressureAlt,estAttitudeUncertQuaternionW,estAttitudeUncertQuaternionX,estAttitudeUncertQuaternionY,estAttitudeUncertQuaternionZ,estAngularRateX,estAngularRateY,estAngularRateZ,estCompensatedAccelX,estCompensatedAccelY,estCompensatedAccelZ,estLinearAccelX,estLinearAccelY,estLinearAccelZ,estGravityVectorX,estGravityVectorY,estGravityVectorZ,current_altitude,vertical_velocity,vertical_acceleration,predicted_apogee,a_coefficient,b_coefficient,uncertainty_threshold_1,uncertainty_threshold_2,batch_number,imu_queue_size,apogee_predictor_queue_size,update_timestamp_ns
S,-0.75,0,1737839597074733205,,,,,,,,,,,,,,,0.36385527,0.61462247,0.36166763,-0.59920382,-177.53216553,0.01231487,0.00745008,0.01267924,0.00753644,0.00394929,0.00709205,0.00456110,9.79770374,0.15448065,-0.08150584,0.01990891,0.28985786,-0.24902278,-9.77779484,0.13537720,-0.16751693,0.20715942,0.00000000,9.79179322,,,,,,1,0,0,1737839597102351340
S,-0.75,0,1737839597075428594,,0.99917012,0.01727607,-0.00763765,0.00377759,0.00556882,0.00405535,0.00999245,0.00017405,-0.00007838,0.00003915,0.00006051,0.00004168,1034.76123047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,1737839597102351340
S,-0.75,0,1737839597085418752,,0.99864709,0.01852843,-0.00750658,0.00590177,0.00547391,0.00486213,0.00998174,0.00018880,-0.00007072,0.00006380,0.00004993,0.00005306,1034.78442383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,1737839597102351340
S,-0.75,0,1737839597094714368,,,,,,,,,,,,,,,0.36382765,0.61468327,0.36162865,-0.59918171,-178.30372620,0.01231487,0.00745008,0.01267924,0.00753644,0.00706123,0.00266084,0.00313815,9.80186462,0.19485208,-0.05037792,0.02409744,0.33094311,-0.21880646,-9.77776718,0.13609101,-0.16842854,-0.56440125,0.00000000,9.79589545,,,,,,1,0,0,1737839597102351340
S,-0.75,0,1737839597095399424,,0.99970502,0.01945939,-0.00686335,0.00512088,0.00506671,0.00452893,0.01000194,0.00019364,-0.00006621,0.00005001,0.00004394,0.00004953,1034.82043457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,1737839597102351340
S,-0.75,0,1737839597105369856,,0.99904752,0.01885763,-0.00566817,0.00431799,0.00581357,0.00609697,0.00999470,0.00018530,-0.00005597,0.00004267,0.00005915,0.00006315,1034.83776855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,1737839597102351340
S,-0.75,0,1737839597114675712,,,,,,,,,,,,,,,0.36381030,0.61475384,0.36158901,-0.59914380,-178.30372620,0.01231487,0.00745008,0.01267924,0.00753644,0.00556702,0.00402273,0.00407963,9.79717350,0.20758331,-0.05648705,0.01943874,0.34470057,-0.22605102,-9.77773476,0.13711728,-0.16956396,-0.56440125,0.00000000,9.79087771,,,,,,1,0,0,1737839597102351340
S,-0.75,0,1737839597115330816,,0.99959230,0.01915221,-0.00429936,0.00614479,0.00588066,0.00659742,0.00999246,0.00019343,-0.00004024,0.00006357,0.00006657,0.00006466,1034.84619141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,1737839597102351340
S,-0.75,0,1737839597125281792,,0.99877214,0.01654200,-0.00523874,0.00776690,0.00435116,0.00777439,0.00999098,0.00016407,-0.00005355,0.00007514,0.00003530,0.00007421,1034.83325195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,1737839597102351340
S,-0.75,0,1737839597134617344,,,,,,,,,,,,,,,0.36378208,0.61482555,0.36152387,-0.59912658,-177.27850342,0.01231472,0.00745584,0.01267973,0.00754286,0.00883529,0.00416936,0.00380734,9.79648972,0.14486508,-0.03030236,0.01878548,0.28303838,-0.20067173,-9.77770424,0.13817328,-0.17036937,0.46082153,0.00000000,9.79148542,,,,,,1,0,0,1737839597102351340
S,-0.75,0,1737839597135222528,,0.99864137,0.01461898,-0.00399475,0.00804925,0.00426286,0.00566762,0.00998653,0.00014618,-0.00003039,0.00008441,0.00004397,0.00004727,1034.77893066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,1737839597102351340
S,-0.75,0,1737839597145157888,,0.99946707,0.01307268,-0.00085994,0.00992663,0.00356438,0.00647926,0.00999919,0.00012374,-0.00001414,0.00010183,0.00003060,0.00006707,1034.75280762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,1737839597102351340
S,-0.75,0,1737839597154556672,,,,,,,,,,,,,,,0.36373368,0.61490285,0.36144018,-0.59912711,-177.27850342,0.01231472,0.00745584,0.01267973,0.00754286,0.01269701,0.00397331,0.00606629,9.80222988,0.16174702,-0.01399478,0.02455044,0.30086526,-0.18504031,-9.77767944,0.13911824,-0.17104553,0.46082153,0.00000000,9.79721959,,,,,,1,0,0,1737839597102351340
S,-0.75,0,1737839597155097088,,0.99791265,0.01364828,-0.00133347,0.01142204,0.00423598,0.00564782,0.00997940,0.00013968,-0.00001517,0.00012998,0.00004263,0.00005477,1034.74011230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,1737839597102351340
S,-0.75,0,1737839597165036544,,0.99946451,0.01360373,-0.00016247,0.01036588,0.00327094,0.00527671,0.00998732,0.00013278,0.00000190,0.00010091,0.00003039,0.00004838,1034.74438477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,0,1737839597106318270
S,-0.75,0,1737839597174492928,,,,,,,,,,,,,,,0.36350781,0.61471248,0.36140701,-0.59947950,-177.90208435,0.01231452,0.00745516,0.01267900,0.00754139,0.00840368,0.00079509,0.00286153,9.79434681,0.09704071,-0.00100099,0.01649380,0.22998646,-0.16699792,-9.77785301,0.13294575,-0.16599694,-0.16275940,0.00000000,9.79046609,,,,,,3,0,0,1737839597114089493
S,-0.75,0,1737839597174972160,,0.99862248,0.01279549,-0.00045424,0.00951133,0.00395769,0.00425316,0.00999079,0.00012640,-0.00000435,0.00009393,0.00004141,0.00005184,1034.77612305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,0,1737839597114089493
S,-0.75,0,1737839597184909824,,0.99922502,0.01173836,0.00074573,0.00971641,0.00297788,0.00305327,0.00999470,0.00012034,0.00000688,0.00009958,0.00003608,0.00003352,1034.79125977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0,0,1737839597124076812
