state_letter,set_extension,encoder_position,timestamp,invalid_fields,scaledAccelX,scaledAccelY,scaledAccelZ,scaledGyroX,scaledGyroY,scaledGyroZ,deltaVelX,deltaVelY,deltaVelZ,deltaThetaX,deltaThetaY,deltaThetaZ,scaledAmbientPressure,estOrientQuaternionW,estOrientQuaternionX,estOrientQuaternionY,estOrientQuaternionZ,estPressureAlt,estAttitudeUncertQuaternionW,estAttitudeUncertQuaternionX,estAttitudeUncertQuaternionY,estAttitudeUncertQuaternionZ,estAngularRateX,estAngularRateY,estAngularRateZ,estCompensatedAccelX,estCompensatedAccelY,estCompensatedAccelZ,estLinearAccelX,estLinearAccelY,estLinearAccelZ,estGravityVectorX,estGravityVectorY,estGravityVectorZ,current_altitude,vertical_velocity,vertical_acceleration,predicted_apogee,a_coefficient,b_coefficient,uncertainty_threshold_1,uncertainty_threshold_2,retrieved_imu_packets,queued_imu_packets,apogee_predictor_queue_size,imu_packets_per_cycle,update_timestamp_ns
S,120,0,1740256115273773592,,-0.00782299,0.066087,-0.99802911,-0.00083371,0.00443075,0.00092251,-0.00001695,0.00013183,-0.00199764,1.68e-6,6.73e-6,2.02e-6,1032.43225098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,45,0,3,1740256115310971642
S,120,0,1740256115286699108,,,,,,,,,,,,,,,0.9903782,-0.03250425,0.00040892,-0.13451548,-158.4651947,0.00543768,0.00062891,0.00105823,0.03991326,0.00357528,0.00005118,-0.00094166,-0.0912706,0.64820361,-9.79930401,-0.01366815,0.01745129,-0.03980732,0.07760245,-0.63075233,9.75949669,0.0,0.0,9.82112309,,,,,,15,45,0,3,1740256115310971642
S,120,0,1740256115275796480,,-0.01049676,0.06577045,-0.99643505,-0.00198572,0.00136979,0.00092138,-0.00002124,0.00013126,-0.00199212,-5.83e-6,1.64e-6,-3.2e-7,1032.43225098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,45,0,3,1740256115310971642
S,120,0,1740256115288697600,,,,,,,,,,,,,,,0.99037784,-0.03250301,0.00040857,-0.13451825,-158.4651947,0.00543768,0.00062891,0.00105823,0.03991326,-0.00104107,-0.00022479,-0.00467093,-0.09303018,0.64377248,-9.77156639,-0.01542249,0.01304537,-0.01206875,0.07760768,-0.63072711,9.75949764,0.0,0.0,9.79317232,,,,,,15,45,0,3,1740256115310971642
S,120,0,1740256115277815552,,-0.00854194,0.06579624,-0.99523818,-0.00214142,0.00499466,0.00210594,-0.00001932,0.00013213,-0.00198923,-6.56e-6,0.0000119,5.99e-6,1032.43225098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,45,0,3,1740256115310971642
S,120,0,1740256115290694144,,,,,,,,,,,,,,,0.99037749,-0.03250419,0.00040975,-0.13452093,-158.4651947,0.00543768,0.00062891,0.00105823,0.03991326,-0.00162561,0.00241887,-0.00065517,-0.10832078,0.6486553,-9.75508308,-0.03073114,0.01790249,0.00441551,0.07758964,-0.6307528,9.7594986,0.0,0.0,9.77716002,,,,,,15,45,0,3,1740256115310971642
S,120,0,1740256115279831040,,-0.00879329,0.06637554,-0.99398059,-0.0021011,0.00370931,0.00664441,-0.00001423,0.00013417,-0.00198815,-5.89e-6,6.33e-6,0.00001344,1032.43225098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,45,0,3,1740256115310971642
S,120,0,1740256115292688640,,,,,,,,,,,,,,,0.99037749,-0.03250526,0.00041169,-0.13452068,-158.4651947,0.00543768,0.00062891,0.00105823,0.03991326,-0.00101301,0.00111444,0.00127384,-0.05866177,0.65761834,-9.75378132,0.01889299,0.02683973,0.00571537,0.07755476,-0.63077861,9.75949669,0.0,0.0,9.77604537,,,,,,15,45,0,3,1740256115310971642
S,120,0,1740256115281842688,,-0.00975567,0.06688882,-0.99698526,-0.00153401,0.00587819,0.00520179,-0.00002019,0.0001325,-0.00199172,-7.5e-7,0.00001098,0.00001238,1032.43225098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,45,0,3,1740256115310971642
S,120,0,1740256115294681344,,,,,,,,,,,,,,,0.99037784,-0.03250447,0.00041327,-0.13451815,-158.4651947,0.00543768,0.00062891,0.00105823,0.03991326,0.00216945,0.00206231,0.00393861,-0.09919249,0.64381737,-9.74857903,-0.02167202,0.0130496,0.01091862,0.07752047,-0.63076776,9.75949764,0.0,0.0,9.7702851,,,,,,15,45,0,3,1740256115310971642
