state_letter,set_extension,encoder_position,timestamp_seconds,temperature_celsius,pressure_pascals,raw_acceleration_x_gs,raw_acceleration_y_gs,raw_acceleration_z_gs,raw_angular_rate_x_deg_per_s,raw_angular_rate_y_deg_per_s,raw_angular_rate_z_deg_per_s,magnetic_field_x_microteslas,magnetic_field_y_microteslas,magnetic_field_z_microteslas,est_position_x_meters,est_position_y_meters,est_position_z_meters,est_velocity_x_meters_per_s,est_velocity_y_meters_per_s,est_velocity_z_meters_per_s,est_acceleration_x_gs,est_acceleration_y_gs,est_acceleration_z_gs,est_angular_rate_x_rad_per_s,est_angular_rate_y_rad_per_s,est_angular_rate_z_rad_per_s,est_quaternion_w,est_quaternion_x,est_quaternion_y,est_quaternion_z,predicted_apogee,height_used_for_prediction,velocity_used_for_prediction,retrieved_firm_packets,apogee_predictor_queue_size,update_timestamp_ns
S,74,0,21.74099555,30.16804504,99530.92187500,-0.70051187,-0.71110469,0.00585036,0.24236898,0.06526437,0.26379520,-1.83105469,-122.31445312,-10.15014648,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00190367,0.00010404,1.00165570,0.00143315,0.00454869,0.00273973,0.44116202,-0.44434857,0.54779065,-0.55484766,,,,16,0,1771633089834440026
S,74,0,21.75106577,30.18138123,99528.32812500,-0.70014602,-0.71012843,0.00450926,0.17370443,0.09578194,0.11120731,-1.86767578,-122.36328125,-10.04028320,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00191454,0.00012990,1.00148010,0.00340871,0.00238429,-0.00205244,0.44149992,-0.44403830,0.54762113,-0.55499470,,,,16,0,1771633089834440026
S,74,0,21.76303868,30.17956543,99529.14062500,-0.69720715,-0.71049702,0.00536434,0.09741049,-0.03391776,0.09594852,-1.81884766,-122.40600586,-10.12573242,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00189025,0.00019727,1.00142348,0.00557280,0.00059558,0.00234064,0.44159046,-0.44396088,0.54769987,-0.55490679,,,,16,0,1771633089834440026
S,74,0,21.77356932,30.17639160,99529.65625000,-0.69915640,-0.71659893,0.01426465,0.24999838,-0.07969412,0.15698367,-1.83105469,-122.38159180,-10.08300781,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00184639,0.00023318,1.00092828,0.00604454,0.00257203,0.00074267,0.44147670,-0.44409296,0.54767632,-0.55491495,,,,16,0,1771633089834440026
S,74,0,21.78482096,30.17044067,99529.48437500,-0.70699298,-0.71927828,0.00743215,0.04400473,0.02711739,0.27142459,-1.86767578,-122.34497070,-10.09521484,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00189716,0.00018463,1.00137722,0.00114960,-0.00119260,0.00367205,0.44152936,-0.44404131,0.54745895,-0.55512869,,,,16,0,1771633089834440026
S,74,0,21.79607256,30.18838501,99529.70312500,-0.71579325,-0.73501831,0.01059790,0.08215170,-0.01865897,0.00439579,-1.81274414,-122.42431641,-9.99755859,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00185644,0.00016863,1.00164974,0.00510328,-0.00175794,0.00060926,0.44137552,-0.44420207,0.54738641,-0.55519408,,,,16,0,1771633089834440026
S,74,0,21.79968649,30.18013000,99530.84375000,-0.71065772,-0.72830850,0.00889347,0.07452230,-0.01102958,0.01965458,-1.86767578,-122.24121094,-10.04638672,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00196858,0.00005665,1.00231862,0.00124416,0.00078358,0.00007558,0.44136134,-0.44420522,0.54699171,-0.55559164,,,,16,0,1771633089834440026
S,74,0,21.79968649,30.18013000,99530.84375000,-0.71065772,-0.72830850,0.00889347,0.07452230,-0.01102958,0.01965458,-1.86767578,-122.24121094,-10.04638672,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00196858,0.00005665,1.00231862,0.00124416,0.00078358,0.00007558,0.44136134,-0.44420522,0.54699171,-0.55559164,,,,16,0,1771633089834440026
S,74,0,21.79968649,30.18013000,99530.84375000,-0.71065772,-0.72830850,0.00889347,0.07452230,-0.01102958,0.01965458,-1.86767578,-122.24121094,-10.04638672,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00196858,0.00005665,1.00231862,0.00124416,0.00078358,0.00007558,0.44136134,-0.44420522,0.54699171,-0.55559164,,,,16,0,1771633089834440026
S,74,0,21.79968649,30.18013000,99530.84375000,-0.71065772,-0.72830850,0.00889347,0.07452230,-0.01102958,0.01965458,-1.86767578,-122.24121094,-10.04638672,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00196858,0.00005665,1.00231862,0.00124416,0.00078358,0.00007558,0.44136134,-0.44420522,0.54699171,-0.55559164,,,,16,0,1771633089834440026
