state_letter,set_extension,encoder_position,battery_voltage,current_milliamps,timestamp_seconds,temperature_celsius,pressure_pascals,raw_acceleration_x_gs,raw_acceleration_y_gs,raw_acceleration_z_gs,raw_rotated_acceleration_x_gs,raw_rotated_acceleration_y_gs,raw_rotated_acceleration_z_gs,raw_angular_rate_x_deg_per_s,raw_angular_rate_y_deg_per_s,raw_angular_rate_z_deg_per_s,magnetic_field_x_microteslas,magnetic_field_y_microteslas,magnetic_field_z_microteslas,est_position_z_meters,est_velocity_z_meters_per_s,est_mach_number,est_quaternion_w,est_quaternion_x,est_quaternion_y,est_quaternion_z,est_tilt_angle_degrees,predicted_apogee,height_used_for_prediction,velocity_used_for_prediction,retrieved_firm_packets,apogee_predictor_queue_size,update_timestamp_ns
S,112,0,0.0,0.0,102.50540268,37.86837769,101029.84375000,0.52996904,0.82532269,-0.15773544,0.01901478,-0.01391053,0.99315178,0.96736848,0.06618322,0.75920856,-37.55059433,-11.69319916,-23.38551331,0.41071573,0.01279517,0.00003619,0.62507963,0.69640493,0.32498971,0.13666525,16.37305069,,,,6,0,1774474270049436012
S,112,0,0.0,0.0,102.51547074,37.87049866,101030.29687500,0.53923076,0.82922018,-0.16210970,0.02191392,-0.00810158,1.00205278,-1.80210149,-0.66623861,-0.96503448,-37.80644226,-11.67376041,-23.37850952,0.41244721,0.01475301,0.00004173,0.62511212,0.69639206,0.32497805,0.13661028,16.37507439,,,,6,0,1774474270049436012
S,112,0,0.0,0.0,102.52727650,37.86518860,101030.25000000,0.52958304,0.83801770,-0.16735241,0.00859416,-0.01181686,1.00524914,-2.06150103,-0.10929284,0.28618613,-37.81506348,-11.74288750,-23.41025925,0.41419768,0.01826783,0.00005167,0.62526965,0.69631094,0.32486370,0.13657495,16.36209488,,,,6,0,1774474270049436012
S,112,0,0.0,0.0,102.53810984,37.86489868,101030.96875000,0.52530777,0.83154523,-0.18026868,-0.00026542,-0.00034535,0.99995631,-2.99991632,0.47054112,0.44640338,-37.83754730,-11.64225483,-23.34229279,0.41598040,0.02118189,0.00005991,0.62543660,0.69622678,0.32474974,0.13650966,16.35113144,,,,6,0,1774474270049436012
S,112,0,0.0,0.0,102.54884925,37.86605835,101030.89062500,0.51678437,0.81604636,-0.17967364,-0.00105622,0.00249124,0.98248327,0.45619911,-1.56650710,0.31670371,-37.81660843,-11.68632603,-23.44823265,0.41668820,0.02173966,0.00006149,0.62550682,0.69622648,0.32464576,0.13643731,16.34667969,,,,6,0,1774474270049436012
S,112,0,0.0,0.0,102.55880186,37.87435913,101030.54687500,0.53080392,0.83007795,-0.17332202,0.00851226,-0.00278234,1.00037122,1.64638460,1.10378087,-1.36939240,-37.82559967,-11.71141815,-23.33275032,0.41527155,0.01760366,0.00004979,0.62540984,0.69628006,0.32472655,0.13641673,16.35877228,,,,6,0,1774474270049436012
S,112,0,0.0,0.0,102.56457251,37.86624146,101030.75000000,0.54506785,0.83580375,-0.17428076,0.01646009,0.00163150,1.01280153,1.66927278,1.87434959,-1.39990997,-37.55784607,-11.67434978,-23.47736168,0.41527155,0.01760366,0.00004979,0.62540984,0.69628006,0.32472655,0.13641673,16.35877228,,,,1,0,1774474270049960291
S,112,0,0.0,0.0,102.56457251,37.86624146,101030.75000000,0.54506785,0.83580375,-0.17428076,0.01646009,0.00163150,1.01280153,1.66927278,1.87434959,-1.39990997,-37.55784607,-11.67434978,-23.47736168,0.41527155,0.01760366,0.00004979,0.62540984,0.69628006,0.32472655,0.13641673,16.35877228,,,,1,0,1774474270102843009
S,112,0,0.0,0.0,102.56457251,37.86624146,101030.75000000,0.54506785,0.83580375,-0.17428076,0.01646009,0.00163150,1.01280153,1.66927278,1.87434959,-1.39990997,-37.55784607,-11.67434978,-23.47736168,0.41527155,0.01760366,0.00004979,0.62540984,0.69628006,0.32472655,0.13641673,16.35877228,,,,1,0,1774474270103735608
S,112,0,0.0,0.0,102.56457251,37.86624146,101030.75000000,0.54506785,0.83580375,-0.17428076,0.01646009,0.00163150,1.01280153,1.66927278,1.87434959,-1.39990997,-37.55784607,-11.67434978,-23.47736168,0.41527155,0.01760366,0.00004979,0.62540984,0.69628006,0.32472655,0.13641673,16.35877228,,,,1,0,1774474270104718671
