state_letter,set_extension,encoder_position,battery_voltage,current_milliamps,timestamp_seconds,temperature_celsius,pressure_pascals,raw_acceleration_x_gs,raw_acceleration_y_gs,raw_acceleration_z_gs,raw_rotated_acceleration_x_gs,raw_rotated_acceleration_y_gs,raw_rotated_acceleration_z_gs,raw_angular_rate_x_deg_per_s,raw_angular_rate_y_deg_per_s,raw_angular_rate_z_deg_per_s,magnetic_field_x_microteslas,magnetic_field_y_microteslas,magnetic_field_z_microteslas,est_position_z_meters,est_velocity_z_meters_per_s,est_mach_number,est_quaternion_w,est_quaternion_x,est_quaternion_y,est_quaternion_z,est_tilt_angle_degrees,predicted_apogee,height_used_for_prediction,velocity_used_for_prediction,retrieved_firm_packets,apogee_predictor_queue_size,update_timestamp_ns
S,112,0,0.0,0.0,390.82338983,34.39367676,100894.93750000,-0.04910995,0.03544584,-0.99943751,-0.05013573,0.06934617,0.99760759,0.00585748,0.17207605,0.03491335,-6.58569336,-3068847.75000000,-10.94970703,-0.00001526,0.00006232,0.00000018,0.02986452,0.99954230,-0.00014624,-0.00482627,3.46712661,,,,6,0,1774475734233624917
S,112,0,0.0,0.0,395.85447021,34.39367676,100894.93750000,-0.04910995,0.03544584,-0.99943751,-0.05013573,0.06934617,0.99760759,0.00585748,0.17207605,0.03491335,-6.50024414,-3073120.00000000,-10.89477539,-0.00001526,0.00006232,0.00000018,0.02986452,0.99954230,-0.00014624,-0.00482627,3.46712661,,,,6,0,1774475734233624917
S,112,0,0.0,0.0,395.86347814,34.39367676,100894.93750000,-0.04910995,0.03544584,-0.99943751,-0.05013573,0.06934617,0.99760759,0.00585748,0.17207605,0.03491335,-6.63452148,-3075561.50000000,-10.81542969,-0.00001526,0.00006232,0.00000018,0.02986452,0.99954230,-0.00014624,-0.00482627,3.46712661,,,,6,0,1774475734233624917
S,112,0,0.0,0.0,395.87248633,34.39367676,100894.93750000,-0.04910995,0.03544584,-0.99943751,-0.05013573,0.06934617,0.99760759,0.00585748,0.17207605,0.03491335,-6.65893555,-3081054.75000000,-10.85205078,-0.00001526,0.00006232,0.00000018,0.02986452,0.99954230,-0.00014624,-0.00482627,3.46712661,,,,6,0,1774475734233624917
S,112,0,0.0,0.0,395.88599816,34.39367676,100894.93750000,-0.04910995,0.03544584,-0.99943751,-0.05013573,0.06934617,0.99760759,0.00585748,0.17207605,0.03491335,-6.65893555,-3081665.00000000,-10.84594727,-0.00001526,0.00006232,0.00000018,0.02986452,0.99954230,-0.00014624,-0.00482627,3.46712661,,,,6,0,1774475734233624917
S,112,0,0.0,0.0,395.89500621,34.39367676,100894.93750000,-0.04910995,0.03544584,-0.99943751,-0.05013573,0.06934617,0.99760759,0.00585748,0.17207605,0.03491335,-6.65283203,-3084106.50000000,-10.78491211,-0.00001526,0.00006232,0.00000018,0.02986452,0.99954230,-0.00014624,-0.00482627,3.46712661,,,,6,0,1774475734233624917
S,112,0,0.0,0.0,395.90851854,34.39367676,100894.93750000,-0.04910995,0.03544584,-0.99943751,-0.05013573,0.06934617,0.99760759,0.00585748,0.17207605,0.03491335,-6.40258789,-3076172.00000000,-10.88867188,-0.00001526,0.00006232,0.00000018,0.02986452,0.99954230,-0.00014624,-0.00482627,3.46712661,,,,1,0,1774475734234185785
S,112,0,0.0,0.0,395.90851854,34.39367676,100894.93750000,-0.04910995,0.03544584,-0.99943751,-0.05013573,0.06934617,0.99760759,0.00585748,0.17207605,0.03491335,-6.40258789,-3076172.00000000,-10.88867188,-0.00001526,0.00006232,0.00000018,0.02986452,0.99954230,-0.00014624,-0.00482627,3.46712661,,,,1,0,1774475734286267211
S,112,0,0.0,0.0,395.90851854,34.39367676,100894.93750000,-0.04910995,0.03544584,-0.99943751,-0.05013573,0.06934617,0.99760759,0.00585748,0.17207605,0.03491335,-6.40258789,-3076172.00000000,-10.88867188,-0.00001526,0.00006232,0.00000018,0.02986452,0.99954230,-0.00014624,-0.00482627,3.46712661,,,,1,0,1774475734286947375
S,112,0,0.0,0.0,395.90851854,34.39367676,100894.93750000,-0.04910995,0.03544584,-0.99943751,-0.05013573,0.06934617,0.99760759,0.00585748,0.17207605,0.03491335,-6.40258789,-3076172.00000000,-10.88867188,-0.00001526,0.00006232,0.00000018,0.02986452,0.99954230,-0.00014624,-0.00482627,3.46712661,,,,1,0,1774475734287923038
S,112,0,0.0,0.0,395.90851854,34.39367676,100894.93750000,-0.04910995,0.03544584,-0.99943751,-0.05013573,0.06934617,0.99760759,0.00585748,0.17207605,0.03491335,-6.40258789,-3076172.00000000,-10.88867188,-0.00001526,0.00006232,0.00000018,0.02986452,0.99954230,-0.00014624,-0.00482627,3.46712661,,,,1,0,1774475734288922608
S,112,0,0.0,0.0,395.90851854,34.39367676,100894.93750000,-0.04910995,0.03544584,-0.99943751,-0.05013573,0.06934617,0.99760759,0.00585748,0.17207605,0.03491335,-6.40258789,-3076172.00000000,-10.88867188,-0.00001526,0.00006232,0.00000018,0.02986452,0.99954230,-0.00014624,-0.00482627,3.46712661,,,,1,0,1774475734289922622
S,112,0,0.0,0.0,395.90851854,34.39367676,100894.93750000,-0.04910995,0.03544584,-0.99943751,-0.05013573,0.06934617,0.99760759,0.00585748,0.17207605,0.03491335,-6.40258789,-3076172.00000000,-10.88867188,-0.00001526,0.00006232,0.00000018,0.02986452,0.99954230,-0.00014624,-0.00482627,3.46712661,,,,1,0,1774475734298966198
S,112,0,0.0,0.0,395.90851854,34.39367676,100894.93750000,-0.04910995,0.03544584,-0.99943751,-0.05013573,0.06934617,0.99760759,0.00585748,0.17207605,0.03491335,-6.40258789,-3076172.00000000,-10.88867188,-0.00001526,0.00006232,0.00000018,0.02986452,0.99954230,-0.00014624,-0.00482627,3.46712661,,,,1,0,1774475734310011636
S,112,0,0.0,0.0,395.90851854,34.39367676,100894.93750000,-0.04910995,0.03544584,-0.99943751,-0.05013573,0.06934617,0.99760759,0.00585748,0.17207605,0.03491335,-6.40258789,-3076172.00000000,-10.88867188,-0.00001526,0.00006232,0.00000018,0.02986452,0.99954230,-0.00014624,-0.00482627,3.46712661,,,,1,0,1774475734320985334
S,112,0,0.0,0.0,395.90851854,34.39367676,100894.93750000,-0.04910995,0.03544584,-0.99943751,-0.05013573,0.06934617,0.99760759,0.00585748,0.17207605,0.03491335,-6.40258789,-3076172.00000000,-10.88867188,-0.00001526,0.00006232,0.00000018,0.02986452,0.99954230,-0.00014624,-0.00482627,3.46712661,,,,1,0,1774475734331977939
S,112,0,0.0,0.0,395.90851854,34.39367676,100894.93750000,-0.04910995,0.03544584,-0.99943751,-0.05013573,0.06934617,0.99760759,0.00585748,0.17207605,0.03491335,-6.40258789,-3076172.00000000,-10.88867188,-0.00001526,0.00006232,0.00000018,0.02986452,0.99954230,-0.00014624,-0.00482627,3.46712661,,,,1,0,1774475734343047470
S,112,0,0.0,0.0,404.00560601,35.60577393,100891.29687500,0.51502854,-0.86223358,-0.02997562,0.28744906,0.96264011,0.01722198,0.93664354,-0.40775791,0.08831911,9.52758789,-1079101.50000000,5.28564453,0.31167126,-2530.30175781,7.18326664,-0.71992606,0.04957435,0.05512476,-0.69007981,171.49667358,,,,1,0,1774475734364320220
S,112,0,0.0,0.0,404.01942738,35.60816956,100891.00000000,0.51698524,-0.85832888,-0.01802462,0.28153008,0.96138471,0.02841534,0.73064989,-0.60612214,0.42401245,9.52148438,-1074218.75000000,5.32836914,0.31167126,-2530.30175781,7.18323851,-0.71992606,0.04957435,0.05512476,-0.69007981,171.49667358,,,,1,0,1774475734364963533
S,112,0,0.0,0.0,404.03067971,35.61083984,100891.32812500,0.52247769,-0.85369456,-0.01546104,0.27410054,0.96228433,0.02990147,0.70013231,-0.60612214,0.43164185,9.50317383,-1088867.25000000,5.32836914,0.31167126,-2530.30175781,7.18320799,-0.71992606,0.04957435,0.05512476,-0.69007981,171.49667358,,,,1,0,1774475734376029341
S,112,0,0.0,0.0,404.04318307,35.60328674,100891.82812500,0.52162820,-0.85662359,-0.00985231,0.27597278,0.96361315,0.03585862,0.08215142,-0.21702304,0.20276001,9.53369141,-1076660.12500000,5.31616211,0.31167126,-2530.30175781,7.18329525,-0.71992606,0.04957435,0.05512476,-0.69007981,171.49667358,,,,1,0,1774475734386991613
S,112,0,0.0,0.0,404.05486619,35.60978699,100891.78125000,0.51686454,-0.86077017,-0.01924407,0.28356862,0.96295249,0.02749442,-0.20776555,-0.30857578,-0.14056271,9.51538086,-1079101.50000000,5.29785156,0.31167126,-2530.30175781,7.18322086,-0.71992606,0.04957435,0.05512476,-0.69007981,171.49667358,,,,1,0,1774475734398000126
S,112,0,0.0,0.0,404.06694101,35.59478760,100891.12500000,0.51783973,-0.86199164,-0.02424304,0.28454393,0.96452045,0.02259308,-0.19250676,-0.04917638,0.32483032,9.50927734,-1088256.87500000,5.27954102,0.31167126,-2530.30175781,7.18339443,-0.71992606,0.04957435,0.05512476,-0.69007981,171.49667358,,,,1,0,1774475734408989083
S,112,0,0.0,0.0,404.07944736,35.60404968,100890.00000000,0.51844645,-0.86101556,-0.03009577,0.28429216,0.96433473,0.01663678,-0.47479436,-0.33909336,0.13409548,9.50317383,-1079711.87500000,5.23071289,0.31167126,-2530.30175781,7.18328714,-0.71992606,0.04957435,0.05512476,-0.69007981,171.49667358,,,,1,0,1774475734419989614
S,112,0,0.0,0.0,404.09026778,35.60404968,100891.10937500,0.51722449,-0.86138082,-0.03229130,0.28570044,0.96369189,0.01462426,-0.45953557,-0.23228183,-0.00323362,9.48486328,-1079711.87500000,5.34057617,0.31167126,-2530.30175781,7.18328714,-0.71992606,0.04957435,0.05512476,-0.69007981,171.49667358,,,,1,0,1774475734430989367
S,112,0,0.0,0.0,404.10069845,35.61093140,100890.15625000,0.51905674,-0.86284721,-0.03338779,0.28570366,0.96603853,0.01352721,-0.45190617,-0.42301670,0.14935426,9.52758789,-1082153.37500000,5.31005859,0.31167126,-2530.30175781,7.18320704,-0.71992606,0.04957435,0.05512476,-0.69007981,171.49667358,,,,1,0,1774475734441987824
S,112,0,0.0,0.0,404.11244097,35.60673523,100890.03125000,0.51820076,-0.85942847,-0.03033978,0.28333718,0.96308160,0.01624141,-0.40612981,-0.49931064,0.12646608,9.50317383,-1079711.87500000,5.31005859,0.31167126,-2530.30175781,7.18325615,-0.71992606,0.04957435,0.05512476,-0.69007981,171.49667358,,,,1,0,1774475734453034818
S,112,0,0.0,0.0,404.12453571,35.59573364,100890.98437500,0.52076465,-0.85857606,-0.02972874,0.28091007,0.96439087,0.01650275,-0.35272405,-0.64426911,0.05017214,9.48486328,-1074218.75000000,5.34667969,0.31167126,-2530.30175781,7.18338394,-0.71992606,0.04957435,0.05512476,-0.69007981,171.49667358,,,,1,0,1774475734464051275
S,112,0,0.0,0.0,404.13696028,35.60758972,100891.98437500,0.52039707,-0.85845369,-0.03192383,0.28139132,0.96404767,0.01435359,-0.45953557,-0.72819245,0.30194214,9.52148438,-1082763.62500000,5.26733398,0.31167126,-2530.30175781,7.18324614,-0.71992606,0.04957435,0.05512476,-0.69007981,171.49667358,,,,1,0,1774475734475103046
S,112,0,0.0,0.0,404.14872421,35.61007690,100891.37500000,0.51710528,-0.86162484,-0.02716995,0.28520107,0.96374506,0.01972817,-0.55871767,-0.56034577,0.50030637,9.55810547,-1083374.00000000,5.29174805,0.31167126,-2530.30175781,7.18321705,-0.71992606,0.04957435,0.05512476,-0.69007981,171.49667358,,,,1,0,1774475734486069985
S,112,0,0.0,0.0,404.16081799,35.59994507,100890.57812500,0.51783454,-0.86064887,-0.03204711,0.28472310,0.96364516,0.01472490,-0.65027040,-0.74345124,-0.20922726,9.53979492,-1076049.75000000,5.35278320,0.31167126,-2530.30175781,7.18333435,-0.71992606,0.04957435,0.05512476,-0.69007981,171.49667358,,,,1,0,1774475734497121682
S,112,0,0.0,0.0,404.17321786,35.60768127,100890.34375000,0.51600230,-0.86296678,-0.03692561,0.28835815,0.96388596,0.01033652,-0.71893495,-0.56797516,0.09594850,9.51538086,-1076049.75000000,5.29174805,0.31167126,-2530.30175781,7.18324423,-0.71992606,0.04957435,0.05512476,-0.69007981,171.49667358,,,,1,0,1774475734508034973
