state_letter,set_extension,encoder_position,battery_voltage,current_milliamps,timestamp_seconds,temperature_celsius,pressure_pascals,raw_acceleration_x_gs,raw_acceleration_y_gs,raw_acceleration_z_gs,raw_rotated_acceleration_x_gs,raw_rotated_acceleration_y_gs,raw_rotated_acceleration_z_gs,raw_angular_rate_x_deg_per_s,raw_angular_rate_y_deg_per_s,raw_angular_rate_z_deg_per_s,magnetic_field_x_microteslas,magnetic_field_y_microteslas,magnetic_field_z_microteslas,est_position_z_meters,est_velocity_z_meters_per_s,est_mach_number,est_quaternion_w,est_quaternion_x,est_quaternion_y,est_quaternion_z,est_tilt_angle_degrees,predicted_apogee,height_used_for_prediction,velocity_used_for_prediction,retrieved_firm_packets,apogee_predictor_queue_size,update_timestamp_ns
S,112,0,0.0,0.0,4.83435156,38.78681946,100973.87500000,0.54112500,0.83999330,-0.08330542,0.00454074,-0.00042200,1.00265849,0.34175819,0.08907140,-0.11817177,-32.97160721,-14.87864304,-27.18875504,-0.05911615,-0.01839280,0.00005195,0.65015203,0.64943326,0.34856606,0.18450081,13.32407379,,,,5,0,1774477127612617311
S,112,0,0.0,0.0,4.84693337,38.77571106,100973.68750000,0.53771389,0.83743280,-0.08160453,0.00445148,-0.00246674,0.99853063,0.28835243,-0.13218102,-0.07239541,-32.97521210,-14.89749622,-27.21015930,-0.05648791,-0.01344667,0.00003798,0.65012640,0.64943922,0.34859672,0.18451217,13.32564449,,,,5,0,1774477127612617311
S,112,0,0.0,0.0,4.85699549,38.78324890,100973.28125000,0.53856492,0.84011811,-0.08196808,0.00386730,-0.00286603,1.00127244,-0.08548787,-0.14743981,0.08019248,-33.02017975,-14.89111042,-27.21599770,-0.05386580,-0.00884062,0.00002497,0.65012741,0.64943641,0.34860712,0.18449900,13.32757092,,,,5,0,1774477127612617311
S,112,0,0.0,0.0,4.86827954,38.77667236,100973.53125000,0.53441960,0.83841234,-0.08197263,0.00179452,-0.00443083,0.99761534,-0.09311727,-0.10166345,0.13359824,-33.01367950,-14.87225628,-27.16766357,-0.05084863,-0.00376639,0.00001064,0.65012711,0.64944273,0.34859896,0.18449309,13.32737732,,,,5,0,1774477127612617311
S,112,0,0.0,0.0,4.88006838,38.77127075,100973.93750000,0.53709501,0.84268183,-0.08635294,-0.00097483,-0.00160450,1.00301409,-0.44406939,-0.17032799,-0.05713661,-33.02475357,-14.85337925,-27.18276596,-0.04991552,-0.00219882,0.00000621,0.65014446,0.64943892,0.34858528,0.18447141,13.32804489,,,,5,0,1774477127612617311
S,112,0,0.0,0.0,4.89057843,38.77725220,100973.32812500,0.53441352,0.84158558,-0.08550335,-0.00173217,-0.00320852,1.00058067,-0.21518758,-0.27713951,0.04204551,-32.95903778,-14.89752674,-27.18472290,-0.04902374,-0.00038129,0.00000108,0.65015543,0.64944214,0.34856847,0.18445337,13.32814789,,,,1,0,1774477127613018673
S,112,0,0.0,0.0,4.89057843,38.77725220,100973.32812500,0.53441352,0.84158558,-0.08550335,-0.00173217,-0.00320852,1.00058067,-0.21518758,-0.27713951,0.04204551,-32.95903778,-14.89752674,-27.18472290,-0.04902374,-0.00038129,0.00000108,0.65015543,0.64944214,0.34856847,0.18445337,13.32814789,,,,1,0,1774477127664967156
S,112,0,0.0,0.0,4.89057843,38.77725220,100973.32812500,0.53441352,0.84158558,-0.08550335,-0.00173217,-0.00320852,1.00058067,-0.21518758,-0.27713951,0.04204551,-32.95903778,-14.89752674,-27.18472290,-0.04902374,-0.00038129,0.00000108,0.65015543,0.64944214,0.34856847,0.18445337,13.32814789,,,,1,0,1774477127665862267
S,112,0,0.0,0.0,4.89057843,38.77725220,100973.32812500,0.53441352,0.84158558,-0.08550335,-0.00173217,-0.00320852,1.00058067,-0.21518758,-0.27713951,0.04204551,-32.95903778,-14.89752674,-27.18472290,-0.04902374,-0.00038129,0.00000108,0.65015543,0.64944214,0.34856847,0.18445337,13.32814789,,,,1,0,1774477127666856080
S,112,0,0.0,0.0,4.89057843,38.77725220,100973.32812500,0.53441352,0.84158558,-0.08550335,-0.00173217,-0.00320852,1.00058067,-0.21518758,-0.27713951,0.04204551,-32.95903778,-14.89752674,-27.18472290,-0.04902374,-0.00038129,0.00000108,0.65015543,0.64944214,0.34856847,0.18445337,13.32814789,,,,1,0,1774477127667856725
