state_letter,set_extension,encoder_position,battery_voltage,current_milliamps,timestamp_seconds,temperature_celsius,pressure_pascals,raw_acceleration_x_gs,raw_acceleration_y_gs,raw_acceleration_z_gs,raw_rotated_acceleration_x_gs,raw_rotated_acceleration_y_gs,raw_rotated_acceleration_z_gs,est_tilt_angle_degrees,raw_angular_rate_x_deg_per_s,raw_angular_rate_y_deg_per_s,raw_angular_rate_z_deg_per_s,magnetic_field_x_microteslas,magnetic_field_y_microteslas,magnetic_field_z_microteslas,est_position_z_meters,est_velocity_z_meters_per_s,est_mach_number,est_quaternion_w,est_quaternion_x,est_quaternion_y,est_quaternion_z,predicted_apogee,height_used_for_prediction,velocity_used_for_prediction,retrieved_firm_packets,apogee_predictor_queue_size,update_timestamp_ns
S,122,0,16.255119999999998,313.9024390243902,80.20840957,36.67115784,98482.75000000,-0.72369975,0.68813086,-0.02511814,-0.00231326,0.09458216,0.99445724,4.21035767,-0.70850545,0.77896303,0.38452879,-8.07649517,-50.89006805,-18.60781097,-1.03556168,-0.43323192,0.00122778,-0.03980600,-0.71526390,0.00907067,0.69766098,,,,9,0,1777050676562628345
S,122,0,16.255119999999998,313.9024390243902,80.21874034,36.66902161,98484.25000000,-0.72382861,0.69118172,-0.02962335,0.00220537,0.09228939,0.99700326,4.17860794,-0.75428182,0.74081606,0.33875242,-8.11989307,-50.87222672,-18.64436340,-1.02668262,-0.41041821,0.00116313,-0.03966970,-0.71527296,0.00878859,0.69766313,,,,9,0,1777050676562628345
S,122,0,16.255119999999998,313.9024390243902,80.22929862,36.66128540,98484.35937500,-0.71797436,0.69471872,-0.02632816,-0.00077039,0.08518475,0.99576980,4.16631031,-0.58643514,0.52719301,0.41504636,-8.09535027,-50.92027283,-18.64430046,-1.02476788,-0.39949682,0.00113220,-0.03964986,-0.71527719,0.00864514,0.69766164,,,,9,0,1777050676562628345
S,122,0,16.255119999999998,313.9024390243902,80.24131470,36.67472839,98484.46875000,-0.71334404,0.69898796,-0.02693113,0.00009054,0.07872625,0.99597758,4.15595579,-0.51777059,0.48141667,0.40741697,-8.11357498,-50.87224197,-18.56531143,-1.02363563,-0.39003709,0.00110536,-0.03964016,-0.71528345,0.00851439,0.69765735,,,,9,0,1777050676562628345
S,122,0,16.255119999999998,313.9024390243902,80.25117026,36.66302490,98484.81250000,-0.71236843,0.70399481,-0.02242207,-0.00430423,0.07433557,0.99901754,4.14703989,-0.54065877,0.38223454,0.37689939,-8.18805408,-50.87871552,-18.52892685,-1.02239931,-0.38302475,0.00108551,-0.03960977,-0.71528453,0.00842778,0.69765913,,,,9,0,1777050676562628345
S,122,0,16.255119999999998,313.9024390243902,80.26123349,36.66950989,98483.82812500,-0.71004885,0.70277232,-0.02120245,-0.00539583,0.07287374,0.99657840,4.12141275,-0.30414754,0.22201727,0.16327636,-8.13218307,-50.87839127,-18.52885056,-1.01582050,-0.36451200,0.00103303,-0.03948157,-0.71528202,0.00822506,0.69767141,,,,9,0,1777050676562628345
S,122,0,16.255119999999998,313.9024390243902,80.27381245,36.67008972,98484.54687500,-0.71054441,0.70631176,-0.02607318,-0.00050151,0.07081589,0.99970716,4.10393667,0.10783973,-0.34255788,0.19379394,-8.16996002,-50.93273544,-18.67479706,-1.01237631,-0.35175237,0.00099687,-0.03937450,-0.71528369,0.00810388,0.69767708,,,,9,0,1777050676562628345
S,122,0,16.255119999999998,313.9024390243902,80.28430641,36.66970825,98484.14062500,-0.70809692,0.70387006,-0.01961692,-0.00683624,0.06989722,0.99613589,4.08250237,0.35198033,-0.51803392,0.07935303,-8.10113049,-50.86010361,-18.59570312,-1.00777078,-0.33727258,0.00095584,-0.03919736,-0.71528590,0.00800179,0.69768596,,,,9,0,1777050676562628345
S,122,0,16.255119999999998,313.9024390243902,80.29645474,36.66748047,98483.56250000,-0.70796704,0.70350677,-0.01157877,-0.01484042,0.06909597,0.99562997,4.05110598,0.79448521,-0.75454515,0.03357666,-8.09417152,-50.75168610,-18.52279663,-0.99946713,-0.31695142,0.00089825,-0.03892745,-0.71529341,0.00785849,0.69769514,,,,9,0,1777050676562628345
S,122,0,16.26361,323.9024390243903,80.30651807,36.68518066,98482.25000000,-0.71419102,0.70106781,-0.01779686,-0.00895345,0.07499980,0.99808633,4.01610088,0.71056187,-0.82320970,-0.01219970,-8.11990833,-50.89033890,-18.57746887,-0.98860109,-0.29458666,0.00083484,-0.03864385,-0.71530527,0.00767803,0.69770068,,,,1,0,1777050676570824630
S,122,0,16.25165,357.0731707317073,80.31786281,36.67878723,98481.98437500,-0.71882170,0.69765341,-0.01682818,-0.01018035,0.07956517,0.99863601,3.95685863,0.70293248,-0.92239183,-0.08086424,-8.16232967,-50.72194672,-18.55939102,-0.96890962,-0.25592935,0.00072530,-0.03816224,-0.71532983,0.00736893,0.69770533,,,,1,0,1777050676581046433
S,122,0,16.25582,323.9024390243903,80.32916030,36.68275452,98481.07812500,-0.72162294,0.69203901,-0.01780728,-0.00942481,0.08417301,0.99639410,3.89168835,0.77159703,-0.62484545,0.01068848,-8.15032005,-50.79416656,-18.54108810,-0.94605947,-0.21275182,0.00060293,-0.03763607,-0.71536660,0.00701586,0.69769984,,,,1,0,1777050676591936651
S,122,0,16.25903,419.0243902439024,80.34038784,36.67366028,98481.48437500,-0.72564590,0.69033325,-0.01744634,-0.01000822,0.08711082,0.99786675,3.82940030,0.51219761,-0.46462819,-0.01982909,-8.16319180,-50.86047363,-18.58362770,-0.92352182,-0.17106116,0.00048479,-0.03714614,-0.71539646,0.00666544,0.69769883,,,,1,0,1777050676602911108
S,122,0,16.27429,294.8780487804878,80.35110984,36.68063354,98481.68750000,-0.72674167,0.68935788,-0.01635162,-0.01118934,0.08738680,0.99793458,3.76987791,0.26042759,-0.02212333,-0.11138182,-8.15678501,-50.85448074,-18.46809578,-0.90208161,-0.13203257,0.00037418,-0.03671302,-0.71542776,0.00629080,0.69769317,,,,1,0,1777050676614639402
S,122,0,16.26303,290.9756097560975,80.36186640,36.67762756,98480.46875000,-0.72662133,0.68740284,-0.01988418,-0.00768083,0.08786213,0.99655294,3.72336340,-0.18970664,0.40512273,-0.04271727,-8.13874817,-50.92659378,-18.57747269,-0.88468933,-0.10120568,0.00028682,-0.03640276,-0.71544462,0.00597384,0.69769490,,,,1,0,1777050676625677640
S,122,0,16.26728,308.0487804878049,80.37199767,36.68246460,98480.96875000,-0.72650307,0.68898904,-0.02231927,-0.00525302,0.08579491,0.99780893,3.66965127,-0.38044149,0.43564031,0.06409424,-8.13855076,-50.89648056,-18.56533051,-0.86396307,-0.06471302,0.00018339,-0.03607139,-0.71547008,0.00557304,0.69768935,,,,1,0,1777050676635879909
S,122,0,16.266949999999998,297.0731707317073,80.38450802,36.68440247,98480.84375000,-0.72333431,0.69045109,-0.02341185,-0.00401050,0.08143479,0.99691302,3.61389637,-0.31177694,0.52719301,0.01068848,-8.16356945,-50.92070007,-18.59575081,-0.84250343,-0.02765936,0.00007839,-0.03573831,-0.71549225,0.00514558,0.69768703,,,,1,0,1777050676646868387
S,122,0,16.26283,330.0,80.39457383,36.68652344,98481.15625000,-0.71760893,0.69569540,-0.02596207,-0.00115085,0.07293355,0.99714994,3.56957674,-0.51777059,0.64163393,-0.07323485,-8.17583084,-50.92083359,-18.48632240,-0.82459086,0.00265397,0.00000752,-0.03547990,-0.71551341,0.00479556,0.69768107,,,,1,0,1777050676657846803
S,122,0,16.2634,294.8780487804878,80.40612389,36.68112183,98480.56250000,-0.71809232,0.69410974,-0.02267479,-0.00447905,0.07328561,0.99627727,3.52169967,-0.60169393,0.71792787,-0.01219970,-8.14548206,-51.02906036,-18.51661491,-0.80461007,0.03580579,0.00010147,-0.03521071,-0.71552682,0.00441225,0.69768345,,,,1,0,1777050676668839387
S,122,0,16.25693,380.0,80.41721359,36.67530823,98479.79687500,-0.71431631,0.69703585,-0.02510593,-0.00183415,0.06791556,0.99605286,3.48430753,-0.57117635,0.55008119,-0.14952879,-8.18819809,-50.90280914,-18.52891350,-0.78934693,0.06075223,0.00017217,-0.03498734,-0.71553802,0.00412604,0.69768506,,,,1,0,1777050676679846289
S,122,0,16.252740000000003,410.0,80.42727692,36.66487122,98481.28125000,-0.71468383,0.70033342,-0.02376533,-0.00315523,0.06519125,0.99877185,3.44599891,-0.30414754,0.30594060,-0.19530515,-8.86496353,-49.83444977,-18.74939728,-0.77290368,0.08687860,0.00024622,-0.03477255,-0.71554881,0.00381620,0.69768637,,,,1,0,1777050676690819488
S,122,0,16.26443,299.0243902439024,80.43951077,36.68315125,98480.76562500,-0.71188188,0.70374966,-0.02400498,-0.00274187,0.06016680,0.99949396,3.41150951,0.00102821,0.16098212,0.04883545,-9.43643188,-42.81233215,-22.37229538,-0.75768226,0.11044102,0.00031299,-0.03455453,-0.71556056,0.00355843,0.69768655,,,,1,0,1777050676702596709
S,122,0,16.25934,570.9756097560975,80.44992231,36.68478394,98480.71875000,-0.70870668,0.70313776,-0.02022672,-0.00635433,0.05740657,0.99686557,3.37823343,0.56560338,-0.35781667,-0.10375243,-2.97585464,-45.03328705,-22.89099884,-0.74289149,0.13315915,0.00037737,-0.03430290,-0.71556848,0.00335562,0.69769174,,,,1,0,1777050676712791210
S,122,0,16.26198,572.9268292682926,80.46112770,36.68295288,98482.39062500,-0.70967984,0.70362824,-0.01706090,-0.00956738,0.05746450,0.99781537,3.36854100,0.80211461,-0.72402757,0.01068848,-7.32915068,-51.55440903,-18.47260284,-0.73735613,0.13958351,0.00039557,-0.03416968,-0.71557844,0.00335039,0.69768816,,,,1,0,1777050676723775970
S,122,0,16.26295,519.0243902439024,80.47104574,36.69155884,98482.64062500,-0.71443617,0.70070106,-0.01950229,-0.00741738,0.06309927,0.99887192,3.37127161,1.24461949,-0.90713304,-0.16478758,-9.89244747,-44.55630875,-21.40508080,-0.73778439,0.13695423,0.00038812,-0.03411606,-0.71558911,0.00343257,0.69767946,,,,1,0,1777050676735548992
S,122,0,16.262990000000002,290.9756097560975,80.48262797,36.69078064,98482.78125000,-0.71991926,0.69276875,-0.02121553,-0.00609893,0.07260282,0.99667162,3.37568235,1.51164818,-1.21993816,-0.10375243,-9.98974419,-45.40052032,-20.79058456,-0.73828202,0.13322033,0.00037754,-0.03400634,-0.71560866,0.00358413,0.69766402,,,,1,0,1777050676745752279
S,122,0,16.26687,282.92682926829264,80.49357746,36.68904114,98483.67187500,-0.72821271,0.68740183,-0.02609698,-0.00172222,0.08296674,0.99830341,3.39811134,1.45824242,-1.18942058,-0.14189939,-10.07086849,-46.66025925,-20.15148735,-0.74650776,0.11641686,0.00032992,-0.03401136,-0.71562487,0.00387003,0.69764566,,,,1,0,1777050676756744679
S,122,0,16.27093,292.9268292682927,80.50526702,36.69204712,98484.28125000,-0.73393780,0.67910409,-0.02610552,-0.00212163,0.09341569,0.99589044,3.43359065,1.22936070,-0.99105638,-0.03508788,-10.09495640,-46.49163055,-20.34011459,-0.76014930,0.09082711,0.00025740,-0.03411907,-0.71563900,0.00422922,0.69762385,,,,1,0,1777050676768527394
S,122,0,16.25883,344.8780487804878,80.51616741,36.68576050,98484.43750000,-0.73381394,0.67824978,-0.02488783,-0.00337440,0.09454958,0.99507511,3.47152829,0.60375035,-0.53329271,-0.04271727,-10.05104160,-46.41307068,-20.34618187,-0.77495408,0.06363497,0.00018034,-0.03429573,-0.71564543,0.00455759,0.69760644,,,,1,0,1777050676778710370
