state,extension,timestamp,gpsCorrelTimestampFlags,gpsCorrelTimestampTow,gpsCorrelTimestampWeekNum,scaledAccelX,scaledAccelY,scaledAccelZ,scaledGyroX,scaledGyroY,scaledGyroZ,estFilterGpsTimeTow,estFilterGpsTimeWeekNum,estOrientQuaternionX,estOrientQuaternionY,estOrientQuaternionZ,estOrientQuaternionW,estPressureAlt,estFilterState,estFilterDynamicsMode,estFilterStatusFlags,estAttitudeUncertQuaternionX,estAttitudeUncertQuaternionY,estAttitudeUncertQuaternionZ,estAttitudeUncertQuaternionW,estAngularRateX,estAngularRateY,estAngularRateZ,estCompensatedAccelX,estCompensatedAccelY,estCompensatedAccelZ
TEST_STATE,0.5,1726608206694919026,4,302.7210083,0,-0.08812074363,-0.02378120273,0.9775394797,0.06326918304,0.07016205788,0.0701797381,,,,,,,,,,,,,,,,,,,,
TEST_STATE,0.5,1726608206695918592,4,302.7219849,0,-0.07835410535,-0.03265824914,0.9797241688,0.05930096284,0.06563688815,0.06511566043,,,,,,,,,,,,,,,,,,,,
TEST_STATE,0.5,1726608206695343693,,,,,,,,,,302.7219849,0,0.0175667759,-0.6481143236,-0.7611420751,-0.01738153398,68.9196167,2,1,0,0.000887878472,0.01245448273,0.01057382859,0.0007861710037,0.07257959992,0.06906661391,0.07038266957,-1.048844218,-0.002767575439,9.716934204
TEST_STATE,0.5,1726608206696916992,4,302.7229919,0,-0.07686312497,-0.02919364348,0.987746954,0.05432686582,0.06124779955,0.06673122197,,,,,,,,,,,,,,,,,,,,
TEST_STATE,0.5,1726608206697914368,4,302.723999,0,-0.08288705349,-0.02006318793,0.9963163733,0.0509060137,0.06075524539,0.06222995371,,,,,,,,,,,,,,,,,,,,
TEST_STATE,0.5,1726608206697341696,,,,,,,,,,302.723999,0,0.01766136661,-0.6481622458,-0.7610992789,-0.01737299375,68.9196167,2,1,0,0.000887878472,0.01245448273,0.01057382859,0.0007861710037,0.05986033008,0.06369576603,0.06158531085,-0.7344365716,-0.3661670089,9.56496048
TEST_STATE,0.5,1726608206698910720,4,302.7250061,0,-0.08194373548,-0.01362215076,1.001256108,0.05221080408,0.06336823851,0.05909745768,,,,,,,,,,,,,,,,,,,,
TEST_STATE,0.5,1726608206699906304,4,302.7260132,0,-0.06953942776,-0.01545563992,0.9941582084,0.04857662693,0.06163593754,0.06073161587,,,,,,,,,,,,,,,,,,,,
TEST_STATE,0.5,1726608206699343360,,,,,,,,,,302.7260132,0,0.01774452068,-0.6482067704,-0.7610595226,-0.01736861654,68.9196167,2,1,0,0.000887878472,0.01245448273,0.01057382859,0.0007861710037,0.05164601281,0.05706385896,0.06071220711,-0.7974560857,-0.2022102624,9.780302048
TEST_STATE,0.5,1726608206700906496,4,302.7269897,0,-0.05545106903,-0.02516128868,0.9834090471,0.0506154187,0.05269483104,0.05790726468,,,,,,,,,,,,,,,,,,,,
TEST_STATE,0.5,1726608206701905664,4,302.7279968,0,-0.0493863672,-0.02457576245,0.9783445001,0.0448352322,0.04811256379,0.05347630754,,,,,,,,,,,,,,,,,,,,
TEST_STATE,0.5,1726608206701342976,,,,,,,,,,302.7279968,0,0.01782361977,-0.6482494473,-0.7610213757,-0.01736645214,68.9196167,2,1,0,0.000887878472,0.01245448273,0.01057382859,0.0007861710037,0.05135402456,0.06039863452,0.05658776313,-0.7011061907,-0.1281952262,9.77742672
TEST_STATE,0.5,1726608206702904064,4,302.7290039,0,-0.04337590188,-0.01109360345,0.9792361259,0.03689111024,0.04693648964,0.05176683143,,,,,,,,,,,,,,,,,,,,
TEST_STATE,0.5,1726608206703901440,4,302.730011,0,-0.04535034671,0.02018518187,0.9878863692,0.03815149516,0.04551272839,0.03828902543,,,,,,,,,,,,,,,,,,,,
TEST_STATE,0.5,1726608206703341056,,,,,,,,,,302.730011,0,0.01789644547,-0.6482884288,-0.7609865665,-0.01736134849,68.9196167,2,1,0,0.000887878472,0.01245448273,0.01057382859,0.0007861710037,0.04823618755,0.04371531308,0.05053249002,-0.4511370361,-0.2723474801,9.56975174
TEST_STATE,0.5,1726608206704897792,4,302.7309875,0,-0.05429322273,0.02967158705,1.005844951,0.03693986684,0.04059016705,0.03034434095,,,,,,,,,,,,,,,,,,,,
TEST_STATE,0.5,1726608206705893120,4,302.7319946,0,-0.0556480661,0.01346863061,1.003409505,0.03900501877,0.04591472447,0.02327905968,,,,,,,,,,,,,,,,,,,,
TEST_STATE,0.5,1726608206705337088,,,,,,,,,,302.7319946,0,0.01795786619,-0.6483203173,-0.7609579563,-0.01735620387,68.9196167,2,1,0,0.000887878472,0.01245448273,0.01057382859,0.0007861710037,0.03709553182,0.04301331192,0.03734382987,-0.4224556088,0.184301123,9.675227165
TEST_STATE,0.5,1726608206706887680,4,302.7330017,0,-0.04342573881,-0.002552434802,0.99588269,0.03755047172,0.0455317013,0.01710256934,,,,,,,,,,,,,,,,,,,,
TEST_STATE,0.5,1726608206707881472,4,302.7340088,0,-0.0227741655,-0.009608251974,0.9831610918,0.03575978056,0.04227779433,0.009392649867,,,,,,,,,,,,,,,,,,,,
TEST_STATE,0.5,1726608206707331584,,,,,,,,,,302.7340088,0,0.01801529713,-0.6483404636,-0.7609395981,-0.01735361852,68.9196167,2,1,0,0.000887878472,0.01245448273,0.01057382859,0.0007861710037,0.03994587064,0.0409966521,0.01918404177,-0.5712243319,0.1905645281,9.900484085
TEST_STATE,0.5,1726608206708874240,4,302.7349854,0,-0.009641625918,-0.005817146972,0.9772910476,0.02972880751,0.03997137398,0.002405296545,,,,,,,,,,,,,,,,,,,,
TEST_STATE,0.5,1726608206709866240,4,302.7359924,0,-0.02243948542,0.02299590781,0.988676548,0.02483903989,0.03323093429,-0.004810519516,,,,,,,,,,,,,,,,,,,,
TEST_STATE,0.5,1726608206709324288,,,,,,,,,,302.7359924,0,0.01807151921,-0.6483486295,-0.7609313726,-0.0173503682,68.9196167,2,1,0,0.000887878472,0.01245448273,0.01057382859,0.0007861710037,0.03732388094,0.04036332294,0.005977582186,-0.2219786942,-0.1316653937,9.640688896
TEST_STATE,0.5,1726608206710857472,4,302.7369995,0,-0.03694875538,0.03373706713,0.9928337932,0.02244870551,0.02953183837,-0.01324618608,,,,,,,,,,,,,,,,,,,,
TEST_STATE,0.5,1726608206711847680,4,302.7380066,0,-0.04057665914,0.03062624484,0.9946379662,0.02554536425,0.02838163078,-0.01800276339,,,,,,,,,,,,,,,,,,,,
TEST_STATE,0.5,1726608206711314944,,,,,,,,,,302.7380066,0,0.01811914518,-0.6483464241,-0.7609320879,-0.01734972931,68.9196167,2,1,0,0.000887878472,0.01245448273,0.01057382859,0.0007861710037,0.02550949156,0.03133769333,-0.008573456667,-0.1562545747,0.1860032082,9.656996727
TEST_STATE,0.5,1726608206712837120,4,302.7390137,0,-0.03269306943,0.03476275876,0.9975935221,0.02349014394,0.02913814783,-0.02840171754,,,,,,,,,,,,,,,,,,,,
TEST_STATE,0.5,1726608206713830144,4,302.7399902,0,-0.02269648947,0.029008938,0.9999761581,0.0252213832,0.03052229434,-0.035710603,,,,,,,,,,,,,,,,,,,,
TEST_STATE,0.5,1726608206713308416,,,,,,,,,,302.7399902,0,0.01815699227,-0.6483336091,-0.7609421611,-0.01734871604,68.9196167,2,1,0,0.000887878472,0.01245448273,0.01057382859,0.0007861710037,0.02592362091,0.02502938733,-0.02267354727,-0.4367482066,0.3394150138,9.763829231
TEST_STATE,0.5,1726608206714822400,4,302.7409973,0,-0.02860370837,0.03458151966,1.002708077,0.02620688453,0.02779322118,-0.04068478197,,,,,,,,,,,,,,,,,,,,
TEST_STATE,0.5,1726608206715813632,4,302.7420044,0,-0.04227254167,0.04668694362,1.007732987,0.02742618136,0.02903201059,-0.04929854721,,,,,,,,,,,,,,,,,,,,
TEST_STATE,0.5,1726608206715300352,,,,,,,,,,302.7420044,0,0.01819348522,-0.6483086348,-0.7609626055,-0.01734678447,68.9196167,2,1,0,0.000887878472,0.01245448273,0.01057382859,0.0007861710037,0.02595438808,0.02812786773,-0.04054258019,-0.215780884,0.3076437116,9.811396599
TEST_STATE,0.5,1726608206716803840,4,302.7430115,0,-0.04624084383,0.04530626535,1.000502467,0.03073861264,0.02971965075,-0.06097241864,,,,,,,,,,,,,,,,,,,,
TEST_STATE,0.5,1726608206717793280,4,302.743988,0,-0.04383528605,0.03956065327,0.9960649014,0.03095203638,0.02290515788,-0.0671652928,,,,,,,,,,,,,,,,,,,,
TEST_STATE,0.5,1726608206717290496,,,,,,,,,,302.743988,0,0.01823099144,-0.6482723951,-0.7609926462,-0.01734403707,68.9196167,2,1,0,0.0008852437604,0.01243659854,0.01058868505,0.0007920396747,0.02922009304,0.02555448562,-0.05216668546,-0.4086359143,0.4536696672,9.882059097
TEST_STATE,0.5,1726608206718781952,4,302.7449951,0,-0.03980438784,0.02443689108,0.9912535548,0.02793486789,0.02315898798,-0.06955780834,,,,,,,,,,,,,,,,,,,,
TEST_STATE,0.5,1726608206719774976,4,302.7460022,0,-0.03108320013,0.00512627326,0.9849218726,0.02738188766,0.02245098352,-0.07220482826,,,,,,,,,,,,,,,,,,,,
TEST_STATE,0.5,1726608206719290112,,,,,,,,,,302.7460022,0,0.01826838031,-0.6482239366,-0.7610331774,-0.01733665168,68.36209106,2,1,0,0.0008852437604,0.01243659854,0.01058868505,0.0007920396747,0.03366935626,0.0219784081,-0.07260587811,-0.4465471208,0.3938858509,9.753396988
TEST_STATE,0.5,1726608206720773120,4,302.7470093,0,-0.02905097976,0.002654180862,0.984354496,0.02377587557,0.02586540952,-0.07729110867,,,,,,,,,,,,,,,,,,,,
TEST_STATE,0.5,1726608206721770240,4,302.7479858,0,-0.03445818648,0.005974275991,0.9922615886,0.02517902292,0.02374549955,-0.08042813838,,,,,,,,,,,,,,,,,,,,
TEST_STATE,0.5,1726608206721288192,,,,,,,,,,302.7479858,0,0.01830323786,-0.6481667161,-0.7610812783,-0.01732814685,68.36209106,2,1,0,0.0008852437604,0.01243659854,0.01058868505,0.0007920396747,0.0282237418,0.02027666382,-0.07533529401,-0.3077813685,0.0374670364,9.655045509
TEST_STATE,0.5,1726608206722766592,4,302.7489929,0,-0.04412233829,0.007204616908,0.9968982935,0.02217113785,0.02374330163,-0.08261656761,,,,,,,,,,,,,,,,,,,,
TEST_STATE,0.5,1726608206723761920,4,302.75,0,-0.04663366079,0.008444501087,1.001470566,0.01821920276,0.02512164786,-0.0830502063,,,,,,,,,,,,,,,,,,,,
TEST_STATE,0.5,1726608206723283968,,,,,,,,,,302.75,0,0.01833566278,-0.6481050849,-0.7611330748,-0.01732314378,68.36209106,2,1,0,0.0008852437604,0.01243659854,0.01058868505,0.0007920396747,0.02547801659,0.02283375151,-0.0843270272,-0.3219408095,0.04495496303,9.714901924
TEST_STATE,0.5,1726608206724756224,4,302.7510071,0,-0.04876549169,-0.001729766838,0.99912256,0.02050775103,0.0231226515,-0.08592637628,,,,,,,,,,,,,,,,,,,,
TEST_STATE,0.5,1726608206725750016,4,302.7520142,0,-0.043526683,-0.01628068462,0.9908986092,0.0219860319,0.01847889274,-0.08453118056,,,,,,,,,,,,,,,,,,,,
TEST_STATE,0.5,1726608206725277952,,,,,,,,,,302.7520142,0,0.01836606488,-0.6480392814,-0.7611883879,-0.0173222106,68.36209106,2,1,0,0.0008852437604,0.01243659854,0.01058868505,0.0007920396747,0.01968156919,0.0224867817,-0.08651784062,-0.4830139279,0.08443969488,9.8273983
TEST_STATE,0.5,1726608206726743040,4,302.7529907,0,-0.04422317073,-0.01541232783,0.9861146808,0.01599443518,0.01776881702,-0.0820139274,,,,,,,,,,,,,,,,,,,,
TEST_STATE,0.5,1726608206727735040,4,302.7539978,0,-0.05295116454,-0.01373216137,0.9872092009,0.01478405297,0.01169539429,-0.07991589606,,,,,,,,,,,,,,,,,,,,
